git_hash=8557d56,max_arr_sz=10000000000
n,duration_ns
2,566000.000000
100000002,647000.000000
200000002,567000.000000
300000002,599000.000000
400000002,566000.000000
500000002,604000.000000
600000002,597000.000000
700000002,604000.000000
800000002,569000.000000
900000002,548000.000000
1000000002,575000.000000
1100000002,584000.000000
1200000002,606000.000000
1300000002,585000.000000
1400000002,602000.000000
1500000002,589000.000000
1600000002,598000.000000
1700000002,592000.000000
1800000002,798000.000000
1900000002,599000.000000
2000000002,592000.000000
2100000002,620000.000000
2200000002,600000.000000
2300000002,620000.000000
2400000002,598000.000000
2500000002,605000.000000
2600000002,585000.000000
2700000002,629000.000000
2800000002,619000.000000
2900000002,681000.000000
3000000002,604000.000000
3100000002,660000.000000
3200000002,625000.000000
3300000002,600000.000000
3400000002,596000.000000
3500000002,580000.000000
3600000002,570000.000000
3700000002,580000.000000
3800000002,636000.000000
3900000002,597000.000000
4000000002,590000.000000
4100000002,579000.000000
4200000002,635000.000000
4300000002,564000.000000
4400000002,585000.000000
4500000002,594000.000000
4600000002,625000.000000
4700000002,762000.000000
4800000002,665000.000000
4900000002,761000.000000
5000000002,570000.000000
5100000002,592000.000000
5200000002,603000.000000
5300000002,588000.000000
5400000002,589000.000000
5500000002,572000.000000
5600000002,631000.000000
5700000002,582000.000000
5800000002,614000.000000
5900000002,863000.000000
6000000002,602000.000000
6100000002,580000.000000
6200000002,581000.000000
6300000002,600000.000000
6400000002,674000.000000
6500000002,581000.000000
6600000002,575000.000000
6700000002,584000.000000
6800000002,600000.000000
6900000002,592000.000000
7000000002,574000.000000
7100000002,582000.000000
7200000002,584000.000000
7300000002,775000.000000
7400000002,584000.000000
7500000002,581000.000000
7600000002,594000.000000
7700000002,675000.000000
7800000002,615000.000000
7900000002,690000.000000
8000000002,568000.000000
8100000002,596000.000000
8200000002,578000.000000
8300000002,538000.000000
8400000002,590000.000000
8500000002,610000.000000
8600000002,590000.000000
8700000002,594000.000000
8800000002,618000.000000
8900000002,592000.000000
9000000002,614000.000000
9100000002,562000.000000
9200000002,589000.000000
9300000002,762000.000000
9400000002,733000.000000
9500000002,617000.000000
9600000002,575000.000000
9700000002,838000.000000
9800000002,630000.000000
9900000002,591000.000000
2,539000.000000
100000002,602000.000000
200000002,581000.000000
300000002,607000.000000
400000002,558000.000000
500000002,596000.000000
600000002,580000.000000
700000002,634000.000000
800000002,627000.000000
900000002,631000.000000
1000000002,617000.000000
1100000002,561000.000000
1200000002,615000.000000
1300000002,581000.000000
1400000002,554000.000000
1500000002,585000.000000
1600000002,573000.000000
1700000002,625000.000000
1800000002,643000.000000
1900000002,592000.000000
2000000002,585000.000000
2100000002,613000.000000
2200000002,609000.000000
2300000002,575000.000000
2400000002,579000.000000
2500000002,610000.000000
2600000002,615000.000000
2700000002,593000.000000
2800000002,594000.000000
2900000002,600000.000000
3000000002,588000.000000
3100000002,591000.000000
3200000002,581000.000000
3300000002,615000.000000
3400000002,601000.000000
3500000002,576000.000000
3600000002,583000.000000
3700000002,582000.000000
3800000002,563000.000000
3900000002,560000.000000
4000000002,513000.000000
