git_hash=8557d56,max_arr_sz=10000000000
n,duration_ns
2,597000.000000
2,581000.000000
2,562000.000000
2,600000.000000
2,538000.000000
2,538000.000000
2,536000.000000
2,510000.000000
2,553000.000000
2,562000.000000
2,559000.000000
2,583000.000000
2,554000.000000
2,764000.000000
2,542000.000000
2,615000.000000
2,553000.000000
2,521000.000000
2,545000.000000
2,558000.000000
2,540000.000000
2,532000.000000
2,588000.000000
2,532000.000000
2,524000.000000
2,523000.000000
2,524000.000000
2,535000.000000
2,558000.000000
2,539000.000000
100000002,613000.000000
100000002,586000.000000
100000002,593000.000000
100000002,627000.000000
100000002,624000.000000
100000002,591000.000000
100000002,609000.000000
100000002,602000.000000
100000002,589000.000000
100000002,642000.000000
100000002,599000.000000
100000002,598000.000000
100000002,598000.000000
100000002,667000.000000
100000002,557000.000000
100000002,583000.000000
100000002,619000.000000
100000002,601000.000000
100000002,660000.000000
100000002,596000.000000
100000002,645000.000000
100000002,588000.000000
100000002,596000.000000
100000002,614000.000000
100000002,575000.000000
100000002,593000.000000
100000002,678000.000000
100000002,622000.000000
100000002,598000.000000
100000002,571000.000000
200000002,561000.000000
200000002,594000.000000
200000002,603000.000000
200000002,555000.000000
200000002,597000.000000
200000002,609000.000000
200000002,611000.000000
200000002,599000.000000
200000002,656000.000000
200000002,594000.000000
200000002,581000.000000
200000002,602000.000000
200000002,552000.000000
200000002,576000.000000
200000002,593000.000000
200000002,571000.000000
200000002,566000.000000
200000002,602000.000000
200000002,641000.000000
200000002,574000.000000
200000002,609000.000000
200000002,787000.000000
200000002,619000.000000
200000002,605000.000000
200000002,662000.000000
200000002,650000.000000
200000002,590000.000000
200000002,560000.000000
200000002,610000.000000
200000002,591000.000000
300000002,615000.000000
300000002,635000.000000
300000002,634000.000000
300000002,583000.000000
300000002,613000.000000
300000002,671000.000000
300000002,676000.000000
300000002,1187000.000000
300000002,626000.000000
300000002,649000.000000
300000002,673000.000000
300000002,859000.000000
300000002,592000.000000
300000002,596000.000000
300000002,526000.000000
300000002,591000.000000
300000002,572000.000000
300000002,616000.000000
300000002,639000.000000
300000002,605000.000000
300000002,609000.000000
300000002,620000.000000
300000002,645000.000000
300000002,589000.000000
300000002,556000.000000
300000002,655000.000000
300000002,638000.000000
300000002,583000.000000
300000002,597000.000000
300000002,603000.000000
400000002,622000.000000
400000002,618000.000000
400000002,646000.000000
400000002,598000.000000
400000002,932000.000000
400000002,594000.000000
400000002,565000.000000
400000002,632000.000000
400000002,612000.000000
400000002,813000.000000
400000002,686000.000000
400000002,708000.000000
400000002,573000.000000
400000002,560000.000000
400000002,850000.000000
400000002,587000.000000
400000002,582000.000000
400000002,588000.000000
400000002,672000.000000
400000002,601000.000000
400000002,402000.000000
400000002,566000.000000
400000002,792000.000000
400000002,620000.000000
400000002,567000.000000
400000002,600000.000000
400000002,573000.000000
400000002,573000.000000
400000002,567000.000000
400000002,525000.000000
500000002,611000.000000
500000002,578000.000000
500000002,623000.000000
500000002,678000.000000
500000002,607000.000000
500000002,631000.000000
500000002,609000.000000
500000002,602000.000000
500000002,837000.000000
500000002,618000.000000
500000002,587000.000000
500000002,585000.000000
500000002,606000.000000
500000002,616000.000000
500000002,612000.000000
500000002,606000.000000
500000002,635000.000000
500000002,601000.000000
500000002,592000.000000
500000002,576000.000000
500000002,585000.000000
500000002,569000.000000
500000002,657000.000000
500000002,594000.000000
500000002,569000.000000
500000002,685000.000000
500000002,596000.000000
500000002,812000.000000
500000002,612000.000000
500000002,592000.000000
600000002,639000.000000
600000002,808000.000000
600000002,554000.000000
600000002,566000.000000
600000002,893000.000000
600000002,551000.000000
600000002,594000.000000
600000002,627000.000000
600000002,592000.000000
600000002,585000.000000
600000002,589000.000000
600000002,617000.000000
600000002,569000.000000
600000002,600000.000000
600000002,631000.000000
600000002,598000.000000
600000002,584000.000000
