git_hash=8557d56,max_arr_sz=10000000000
n,duration_ns
2,578440
100000002,579509
200000002,601110
300000002,617489
400000002,571570
500000002,610329
600000002,591789
700000002,580209
800000002,577359
900000002,585899
1000000002,595469
1100000002,598949
1200000002,615999
1300000002,592239
1400000002,609749
1500000002,632218
1600000002,570010
1700000002,661498
1800000002,590818
1900000002,530299
2000000002,599179
2100000002,646708
2200000002,498080
2300000002,564168
2400000002,881568
2500000002,645848
2600000002,612479
2700000002,617430
2800000002,576159
2900000002,572618
3000000002,622269
3100000002,656279
3200000002,615169
3300000002,611089
3400000002,642769
3500000002,624369
3600000002,642939
3700000002,589109
3800000002,609019
3900000002,483308
4000000002,606839
4100000002,541569
4200000002,660638
4300000002,592069
4400000002,594338
4500000002,628849
4600000002,638749
4700000002,613708
4800000002,585909
4900000002,594210
5000000002,623638
5100000002,593469
5200000002,598418
5300000002,616188
5400000002,625709
5500000002,476938
5600000002,636679
5700000002,714278
5800000002,711949
5900000002,579620
6000000002,891159
6100000002,594998
6200000002,601348
6300000002,560919
6400000002,551359
6500000002,601309
6600000002,561648
6700000002,587009
6800000002,624878
6900000002,838968
7000000002,627799
7100000002,777658
7200000002,558978
7300000002,629279
7400000002,580979
7500000002,598868
7600000002,615008
7700000002,578859
7800000002,947718
7900000002,563738
8000000002,558629
8100000002,863028
8200000002,619070
8300000002,599908
8400000002,563508
8500000002,603609
8600000002,580829
8700000002,593059
8800000002,559609
8900000002,620358
9000000002,586219
9100000002,520899
9200000002,596688
9300000002,575259
9400000002,574790
9500000002,576649
9600000002,602799
9700000002,541570
9800000002,574058
9900000002,563168
2,501920
100000002,576159
200000002,569419
300000002,656698
400000002,614959
500000002,613719
600000002,599198
700000002,644898
800000002,597648
900000002,541159
1000000002,663268
1100000002,592348
1200000002,1007598
1300000002,587639
1400000002,563049
1500000002,603479
1600000002,583208
1700000002,652509
1800000002,676779
1900000002,635359
2000000002,607939
2100000002,584429
2200000002,626348
2300000002,584959
2400000002,616698
2500000002,657819
2600000002,594100
2700000002,565330
2800000002,588960
2900000002,609639
3000000002,638680
3100000002,591168
3200000002,651119
3300000002,655259
3400000002,587048
3500000002,621799
3600000002,610658
3700000002,598689
3800000002,486728
3900000002,570978
4000000002,638409
4100000002,560529
4200000002,618509
4300000002,586928
4400000002,618799
4500000002,603290
4600000002,592238
4700000002,594900
4800000002,599089
4900000002,1035048
5000000002,507759
5100000002,582989
5200000002,613829
5300000002,591588
5400000002,595469
5500000002,611988
5600000002,638108
5700000002,575248
5800000002,611559
5900000002,587950
6000000002,571478
6100000002,587210
6200000002,845728
6300000002,576009
6400000002,553298
6500000002,570698
6600000002,571729
6700000002,574598
6800000002,599139
6900000002,593788
7000000002,632239
7100000002,603709
7200000002,592739
7300000002,618789
7400000002,1031539
7500000002,639889
7600000002,576328
7700000002,650669
7800000002,617029
7900000002,636259
8000000002,628058
8100000002,630239
8200000002,630148
8300000002,603588
8400000002,590048
8500000002,612379
8600000002,503960
8700000002,613709
8800000002,513929
8900000002,558399
9000000002,634538
9100000002,709029
9200000002,616490
9300000002,873738
9400000002,541990
9500000002,728429
9600000002,602618
9700000002,553078
9800000002,1107688
9900000002,556740
2,489008
100000002,592908
200000002,629319
300000002,588419
400000002,574570
500000002,682068
600000002,596278
700000002,647950
800000002,523538
900000002,600848
1000000002,709499
1100000002,570238
1200000002,933717
1300000002,533299
1400000002,576359
1500000002,593079
1600000002,608258
1700000002,622948
1800000002,608830
1900000002,620959
2000000002,591529
2100000002,624438
2200000002,574818
2300000002,604648
2400000002,593629
2500000002,585910
2600000002,632389
2700000002,610148
2800000002,620739
2900000002,667439
3000000002,664500
3100000002,1091219
3200000002,597619
3300000002,547070
3400000002,609840
3500000002,600208
3600000002,587458
3700000002,568218
3800000002,756439
3900000002,576410
4000000002,657129
4100000002,572979
4200000002,672819
4300000002,559198
4400000002,603539
4500000002,574169
4600000002,606729
4700000002,677319
4800000002,607319
4900000002,636629
5000000002,614019
5100000002,642709
5200000002,619138
5300000002,575588
5400000002,612670
5500000002,583048
5600000002,827648
5700000002,605238
5800000002,778299
5900000002,651450
6000000002,652980
6100000002,750858
6200000002,635718
6300000002,648948
6400000002,654479
