git_hash=8557d56,max_arr_sz=10000000000
n,duration_ns
2,538620
2,580479
2,510210
2,536079
2,524830
2,830689
2,527948
2,594379
2,537988
2,546969
2,554020
2,566280
2,483079
2,501919
2,527179
2,576860
2,505359
2,490429
2,493518
2,516219
2,491778
2,475930
2,478839
2,616008
2,517780
2,492900
2,576459
2,500280
2,493259
2,478210
100000002,650200
100000002,521360
100000002,494429
100000002,574190
100000002,509610
100000002,541219
100000002,524370
100000002,567889
100000002,533869
100000002,1788246
100000002,575130
100000002,589278
100000002,536559
100000002,535899
100000002,600638
100000002,562270
100000002,554830
100000002,564559
100000002,857979
100000002,572440
100000002,617839
100000002,574899
100000002,574639
100000002,547990
100000002,538939
100000002,506879
100000002,538860
100000002,548089
100000002,535799
100000002,528259
200000002,588219
200000002,536739
200000002,573130
200000002,635570
200000002,576230
200000002,559209
200000002,641330
200000002,609328
200000002,570439
200000002,512978
200000002,571940
200000002,630298
200000002,579019
200000002,594870
200000002,610010
200000002,556308
200000002,605620
200000002,561099
200000002,579658
200000002,554260
200000002,548518
200000002,588409
200000002,553928
200000002,504989
200000002,528209
200000002,557670
200000002,564509
200000002,547170
200000002,585438
200000002,541150
300000002,571459
300000002,580098
300000002,656020
300000002,612010
300000002,609348
300000002,599729
300000002,576250
300000002,579799
300000002,585179
300000002,594899
300000002,589469
300000002,606829
300000002,620628
300000002,588860
300000002,633228
300000002,667838
300000002,568519
300000002,620499
300000002,586268
300000002,652019
300000002,566738
300000002,606829
300000002,648688
300000002,590958
300000002,640898
300000002,579199
300000002,593639
300000002,590949
300000002,590878
300000002,632558
400000002,561558
400000002,563050
400000002,564718
400000002,556668
400000002,623570
400000002,597959
400000002,558738
400000002,599378
400000002,594058
400000002,603588
400000002,496530
400000002,578469
400000002,600668
400000002,596350
400000002,596148
400000002,768218
400000002,894739
400000002,580188
400000002,786789
400000002,593098
400000002,559880
400000002,579330
400000002,583070
400000002,595190
400000002,585790
400000002,587158
400000002,600399
400000002,581349
400000002,914389
400000002,563798
500000002,571240
500000002,595708
500000002,742550
500000002,599489
500000002,564248
500000002,553539
500000002,581148
500000002,550040
500000002,567829
500000002,609288
500000002,632889
500000002,557170
500000002,581110
500000002,583280
500000002,648989
500000002,673619
500000002,622299
500000002,722788
500000002,618299
500000002,601829
500000002,639489
500000002,771878
500000002,608000
500000002,590450
500000002,581979
500000002,623960
500000002,589899
500000002,587960
500000002,625328
500000002,578139
600000002,562500
600000002,681860
600000002,533289
600000002,613589
600000002,508819
600000002,559660
600000002,532929
600000002,625709
600000002,590840
600000002,587780
600000002,607280
