git_hash=280a4d3,max_arr_sz=12500000000
n,duration_ns
2,628000.000000
125000002,612000.000000
250000002,626000.000000
375000002,720000.000000
500000002,692000.000000
625000002,641000.000000
750000002,690000.000000
875000002,760000.000000
1000000002,744000.000000
1125000002,805000.000000
1250000002,508000.000000
1375000002,725000.000000
1500000002,991000.000000
1625000002,662000.000000
1750000002,699000.000000
1875000002,877000.000000
2000000002,755000.000000
2125000002,758000.000000
2250000002,528000.000000
2375000002,557000.000000
2500000002,825000.000000
2625000002,626000.000000
2750000002,673000.000000
2875000002,640000.000000
3000000002,705000.000000
3125000002,833000.000000
3250000002,657000.000000
3375000002,730000.000000
3500000002,654000.000000
3625000002,708000.000000
3750000002,778000.000000
3875000002,551000.000000
4000000002,739000.000000
4125000002,635000.000000
4250000002,686000.000000
4375000002,863000.000000
4500000002,668000.000000
4625000002,739000.000000
4750000002,620000.000000
4875000002,629000.000000
5000000002,751000.000000
5125000002,681000.000000
5250000002,733000.000000
5375000002,640000.000000
5500000002,718000.000000
5625000002,727000.000000
5750000002,784000.000000
5875000002,791000.000000
6000000002,666000.000000
6125000002,743000.000000
6250000002,857000.000000
6375000002,695000.000000
6500000002,761000.000000
6625000002,804000.000000
6750000002,674000.000000
6875000002,798000.000000
7000000002,692000.000000
7125000002,768000.000000
7250000002,885000.000000
7375000002,699000.000000
7500000002,758000.000000
7625000002,703000.000000
7750000002,711000.000000
7875000002,781000.000000
8000000002,793000.000000
8125000002,746000.000000
8250000002,678000.000000
8375000002,948000.000000
8500000002,795000.000000
8625000002,688000.000000
8750000002,774000.000000
8875000002,742000.000000
9000000002,671000.000000
9125000002,846000.000000
9250000002,641000.000000
9375000002,783000.000000
9500000002,644000.000000
9625000002,732000.000000
9750000002,785000.000000
9875000002,693000.000000
10000000002,756000.000000
10125000002,656000.000000
10250000002,723000.000000
10375000002,749000.000000
10500000002,691000.000000
10625000002,727000.000000
10750000002,808000.000000
10875000002,784000.000000
11000000002,808000.000000
11125000002,605000.000000
11250000002,932000.000000
11375000002,845000.000000
11500000002,695000.000000
11625000002,868000.000000
11750000002,746000.000000
11875000002,717000.000000
12000000002,774000.000000
12125000002,687000.000000
12250000002,746000.000000
12375000002,753000.000000
2,497000.000000
125000002,703000.000000
250000002,736000.000000
375000002,695000.000000
500000002,623000.000000
625000002,706000.000000
750000002,750000.000000
875000002,721000.000000
1000000002,692000.000000
1125000002,804000.000000
1250000002,733000.000000
1375000002,749000.000000
1500000002,737000.000000
1625000002,524000.000000
1750000002,804000.000000
1875000002,768000.000000
