git_hash=e04fc47,max_arr_sz=12500000000
n,duration_ns
2,842000.000000
2,619000.000000
2,349000.000000
2,586000.000000
2,594000.000000
2,575000.000000
2,454000.000000
2,590000.000000
2,623000.000000
2,596000.000000
2,484000.000000
2,647000.000000
2,577000.000000
2,584000.000000
2,539000.000000
2,561000.000000
2,543000.000000
2,571000.000000
2,588000.000000
2,552000.000000
2,594000.000000
2,553000.000000
2,511000.000000
2,397000.000000
2,498000.000000
2,562000.000000
2,572000.000000
2,573000.000000
2,578000.000000
2,611000.000000
125000002,705000.000000
125000002,682000.000000
125000002,649000.000000
125000002,809000.000000
125000002,719000.000000
125000002,750000.000000
125000002,1036000.000000
125000002,692000.000000
125000002,731000.000000
125000002,758000.000000
125000002,719000.000000
125000002,992000.000000
125000002,740000.000000
125000002,744000.000000
125000002,738000.000000
125000002,513000.000000
125000002,743000.000000
125000002,525000.000000
125000002,472000.000000
125000002,685000.000000
125000002,625000.000000
125000002,759000.000000
125000002,768000.000000
125000002,887000.000000
125000002,1245000.000000
125000002,511000.000000
125000002,719000.000000
125000002,729000.000000
125000002,779000.000000
125000002,891000.000000
250000002,506000.000000
250000002,474000.000000
250000002,801000.000000
250000002,795000.000000
250000002,802000.000000
250000002,705000.000000
250000002,748000.000000
250000002,724000.000000
250000002,792000.000000
250000002,613000.000000
250000002,700000.000000
250000002,889000.000000
250000002,767000.000000
250000002,447000.000000
250000002,712000.000000
250000002,962000.000000
250000002,461000.000000
250000002,541000.000000
250000002,455000.000000
250000002,451000.000000
250000002,780000.000000
250000002,731000.000000
250000002,464000.000000
250000002,732000.000000
250000002,510000.000000
250000002,548000.000000
250000002,433000.000000
250000002,953000.000000
250000002,425000.000000
250000002,854000.000000
375000002,355000.000000
375000002,360000.000000
375000002,622000.000000
375000002,623000.000000
375000002,631000.000000
375000002,603000.000000
375000002,629000.000000
375000002,604000.000000
375000002,755000.000000
375000002,806000.000000
375000002,605000.000000
375000002,589000.000000
375000002,455000.000000
375000002,659000.000000
375000002,730000.000000
375000002,615000.000000
375000002,371000.000000
375000002,732000.000000
375000002,376000.000000
375000002,590000.000000
375000002,514000.000000
375000002,448000.000000
375000002,675000.000000
375000002,724000.000000
375000002,569000.000000
375000002,676000.000000
375000002,663000.000000
375000002,693000.000000
375000002,975000.000000
375000002,672000.000000
500000002,754000.000000
500000002,786000.000000
500000002,720000.000000
500000002,804000.000000
500000002,774000.000000
500000002,727000.000000
500000002,739000.000000
500000002,746000.000000
500000002,730000.000000
500000002,923000.000000
500000002,824000.000000
500000002,786000.000000
500000002,733000.000000
500000002,870000.000000
500000002,846000.000000
500000002,790000.000000
500000002,786000.000000
500000002,783000.000000
500000002,823000.000000
500000002,824000.000000
500000002,769000.000000
500000002,820000.000000
500000002,854000.000000
500000002,727000.000000
500000002,666000.000000
500000002,746000.000000
500000002,669000.000000
500000002,622000.000000
500000002,733000.000000
500000002,781000.000000
625000002,770000.000000
625000002,688000.000000
625000002,650000.000000
625000002,658000.000000
625000002,444000.000000
625000002,599000.000000
625000002,720000.000000
625000002,820000.000000
625000002,733000.000000
625000002,675000.000000
625000002,635000.000000
625000002,519000.000000
625000002,665000.000000
625000002,757000.000000
625000002,670000.000000
625000002,669000.000000
625000002,388000.000000
625000002,625000.000000
625000002,672000.000000
625000002,627000.000000
625000002,625000.000000
625000002,641000.000000
625000002,702000.000000
625000002,398000.000000
625000002,469000.000000
625000002,389000.000000
625000002,457000.000000
625000002,770000.000000
625000002,502000.000000
625000002,670000.000000
750000002,722000.000000
750000002,570000.000000
750000002,822000.000000
750000002,775000.000000
750000002,663000.000000
750000002,553000.000000
750000002,402000.000000
750000002,653000.000000
750000002,623000.000000
750000002,695000.000000
750000002,686000.000000
750000002,398000.000000
750000002,691000.000000
750000002,696000.000000
750000002,681000.000000
750000002,699000.000000
750000002,728000.000000
750000002,718000.000000
750000002,696000.000000
750000002,719000.000000
750000002,525000.000000
750000002,712000.000000
750000002,777000.000000
750000002,752000.000000
750000002,745000.000000
750000002,769000.000000
750000002,726000.000000
750000002,531000.000000
750000002,544000.000000
750000002,745000.000000
875000002,819000.000000
875000002,812000.000000
875000002,835000.000000
875000002,808000.000000
875000002,799000.000000
875000002,521000.000000
875000002,1101000.000000
875000002,763000.000000
875000002,752000.000000
875000002,780000.000000
875000002,878000.000000
875000002,840000.000000
875000002,808000.000000
875000002,729000.000000
875000002,805000.000000
875000002,869000.000000
875000002,521000.000000
875000002,522000.000000
875000002,446000.000000
875000002,754000.000000
875000002,817000.000000
875000002,942000.000000
875000002,731000.000000
875000002,759000.000000
875000002,728000.000000
875000002,729000.000000
875000002,777000.000000
875000002,796000.000000
875000002,910000.000000
875000002,785000.000000
1000000002,391000.000000
1000000002,620000.000000
1000000002,652000.000000
1000000002,661000.000000
1000000002,751000.000000
1000000002,688000.000000
1000000002,788000.000000
1000000002,712000.000000
1000000002,747000.000000
1000000002,740000.000000
1000000002,672000.000000
1000000002,786000.000000
1000000002,732000.000000
1000000002,749000.000000
1000000002,773000.000000
1000000002,714000.000000
1000000002,650000.000000
1000000002,736000.000000
1000000002,452000.000000
1000000002,412000.000000
1000000002,735000.000000
1000000002,659000.000000
1000000002,558000.000000
1000000002,481000.000000
1000000002,424000.000000
1000000002,669000.000000
1000000002,740000.000000
1000000002,654000.000000
1000000002,703000.000000
1000000002,688000.000000
1125000002,769000.000000
1125000002,721000.000000
1125000002,824000.000000
1125000002,791000.000000
1125000002,718000.000000
1125000002,696000.000000
1125000002,740000.000000
1125000002,738000.000000
1125000002,738000.000000
1125000002,666000.000000
1125000002,790000.000000
1125000002,804000.000000
1125000002,770000.000000
1125000002,793000.000000
1125000002,773000.000000
1125000002,790000.000000
1125000002,738000.000000
1125000002,818000.000000
1125000002,819000.000000
1125000002,500000.000000
1125000002,759000.000000
1125000002,725000.000000
1125000002,748000.000000
1125000002,798000.000000
1125000002,469000.000000
1125000002,736000.000000
1125000002,710000.000000
1125000002,697000.000000
1125000002,785000.000000
1125000002,680000.000000
1250000002,460000.000000
1250000002,678000.000000
1250000002,648000.000000
1250000002,684000.000000
1250000002,669000.000000
1250000002,738000.000000
1250000002,661000.000000
1250000002,664000.000000
1250000002,663000.000000
1250000002,695000.000000
1250000002,702000.000000
1250000002,663000.000000
1250000002,684000.000000
1250000002,774000.000000
1250000002,704000.000000
1250000002,633000.000000
1250000002,482000.000000
1250000002,777000.000000
1250000002,684000.000000
1250000002,686000.000000
1250000002,640000.000000
1250000002,814000.000000
1250000002,713000.000000
1250000002,532000.000000
1250000002,721000.000000
1250000002,415000.000000
1250000002,746000.000000
1250000002,644000.000000
1250000002,715000.000000
1250000002,693000.000000
1375000002,793000.000000
1375000002,740000.000000
1375000002,419000.000000
1375000002,486000.000000
1375000002,468000.000000
1375000002,650000.000000
1375000002,784000.000000
1375000002,756000.000000
1375000002,684000.000000
1375000002,690000.000000
1375000002,738000.000000
1375000002,706000.000000
1375000002,691000.000000
1375000002,747000.000000
1375000002,728000.000000
1375000002,703000.000000
1375000002,787000.000000
1375000002,695000.000000
1375000002,794000.000000
1375000002,765000.000000
1375000002,621000.000000
1375000002,742000.000000
1375000002,561000.000000
1375000002,596000.000000
1375000002,724000.000000
1375000002,695000.000000
1375000002,667000.000000
1375000002,780000.000000
1375000002,852000.000000
1375000002,411000.000000
1500000002,790000.000000
1500000002,826000.000000
1500000002,783000.000000
1500000002,755000.000000
1500000002,769000.000000
1500000002,721000.000000
1500000002,840000.000000
1500000002,474000.000000
1500000002,757000.000000
1500000002,757000.000000
1500000002,842000.000000
1500000002,832000.000000
1500000002,806000.000000
1500000002,761000.000000
1500000002,872000.000000
1500000002,519000.000000
1500000002,474000.000000
1500000002,666000.000000
1500000002,561000.000000
1500000002,513000.000000
