git_hash=e04fc47,max_arr_sz=12500000000
n,duration_ns
2,547840.000000
125000002,748544.000000
250000002,464896.000000
375000002,729088.000000
500000002,782336.000000
625000002,722944.000000
750000002,726016.000000
875000002,802816.000000
1000000002,723968.000000
1125000002,717824.000000
1250000002,371712.000000
1375000002,532480.000000
1500000002,633856.000000
1625000002,460800.000000
1750000002,423936.000000
1875000002,693248.000000
2000000002,751616.000000
2125000002,782336.000000
2250000002,683008.000000
2375000002,736256.000000
2500000002,809984.000000
2625000002,582656.000000
2750000002,718848.000000
2875000002,502623.968750
3000000002,681984.000000
3125000002,744448.000000
3250000002,675840.000000
3375000002,763904.000000
3500000002,610304.000000
3625000002,673792.000000
3750000002,826368.000000
3875000002,717824.000000
4000000002,671744.000000
4125000002,662528.000000
4250000002,783360.000000
4375000002,820160.000000
4500000002,771072.000000
4625000002,678688.000000
4750000002,678720.000000
4875000002,720768.000000
5000000002,806912.000000
5125000002,798720.000000
5250000002,502784.000000
5375000002,476160.000000
5500000002,553984.000000
5625000002,819200.000000
5750000002,616288.000000
5875000002,762816.000000
6000000002,628736.000000
6125000002,679936.000000
6250000002,814080.000000
6375000002,809984.000000
6500000002,754688.000000
6625000002,1065984.000000
6750000002,762880.000000
6875000002,840704.000000
7000000002,624640.000000
7125000002,733312.000000
7250000002,832512.000000
7375000002,705536.000000
7500000002,736256.000000
7625000002,763904.000000
7750000002,882656.000000
7875000002,824320.000000
8000000002,692224.000000
8125000002,1047552.000000
8250000002,636928.000000
8375000002,685056.000000
8500000002,815040.000000
8625000002,455680.000000
8750000002,740352.000000
8875000002,628736.000000
9000000002,419840.000000
9125000002,439136.000000
9250000002,674816.000000
9375000002,1083392.000000
9500000002,642016.000000
9625000002,781312.000000
9750000002,715776.000000
9875000002,655136.000000
10000000002,660480.000000
10125000002,721920.000000
10250000002,730944.000000
10375000002,790528.000000
10500000002,590848.000000
10625000002,953280.000000
10750000002,801792.000000
10875000002,455680.000000
11000000002,742400.000000
11125000002,665600.000000
11250000002,804864.000000
11375000002,812032.000000
11500000002,691200.000000
11625000002,461824.000000
11750000002,407552.000000
11875000002,533504.000000
12000000002,468896.000000
12125000002,740192.000000
12250000002,872448.000000
12375000002,677632.000000
2,848896.000000
125000002,634880.000000
250000002,885760.000000
375000002,692224.000000
500000002,795648.000000
625000002,641024.000000
750000002,656384.000000
875000002,685056.000000
1000000002,660480.000000
1125000002,748544.000000
1250000002,700448.000000
1375000002,743424.000000
1500000002,713504.000000
1625000002,651264.000000
1750000002,718752.000000
1875000002,866304.000000
2000000002,712704.000000
2125000002,716800.000000
2250000002,624640.000000
2375000002,756736.000000
2500000002,901152.000000
2625000002,741376.000000
2750000002,544736.000000
2875000002,522176.031250
3000000002,548864.000000
3125000002,796672.000000
3250000002,673600.000000
3375000002,1112064.000000
3500000002,644032.000000
3625000002,711680.000000
3750000002,863232.000000
3875000002,681984.000000
4000000002,723968.000000
4125000002,402368.000000
4250000002,788480.000000
4375000002,827456.000000
4500000002,405504.000000
4625000002,987136.000000
4750000002,742400.000000
4875000002,762880.000000
5000000002,715776.000000
5125000002,527360.000000
5250000002,785408.000000
5375000002,635904.000000
5500000002,686080.000000
5625000002,479200.000000
5750000002,665568.000000
5875000002,789504.000000
6000000002,724992.000000
6125000002,728992.000000
6250000002,782336.000000
6375000002,701440.000000
6500000002,581632.000000
6625000002,486400.000000
6750000002,679936.000000
6875000002,623616.000000
7000000002,726016.000000
7125000002,733184.000000
7250000002,589824.000000
7375000002,590848.000000
7500000002,569344.000000
7625000002,923648.000000
7750000002,964608.000000
7875000002,776192.000000
8000000002,620544.000000
8125000002,737280.000000
8250000002,641024.000000
8375000002,667648.000000
8500000002,983040.000000
8625000002,749568.000000
8750000002,762880.000000
8875000002,644128.000000
9000000002,721792.000000
9125000002,503808.031250
9250000002,437248.000000
9375000002,431104.000000
9500000002,433152.000000
9625000002,756608.000000
9750000002,828288.000000
9875000002,701440.000000
10000000002,710592.000000
10125000002,641024.000000
10250000002,777216.000000
10375000002,700416.000000
10500000002,618496.000000
10625000002,707584.000000
10750000002,616448.000000
10875000002,811008.000000
11000000002,754496.000000
11125000002,673792.000000
11250000002,721792.000000
11375000002,851968.000000
11500000002,638752.000000
11625000002,813056.000000
11750000002,565248.000000
11875000002,398336.000000
12000000002,738304.000000
12125000002,710656.000000
12250000002,690176.000000
12375000002,651264.000000
2,638976.000000
125000002,690016.000000
250000002,796672.000000
375000002,676864.000000
500000002,743424.000000
625000002,484192.000000
750000002,677888.000000
875000002,756736.000000
1000000002,451584.000000
1125000002,832512.000000
1250000002,634016.000000
1375000002,521184.031250
1500000002,740352.000000
1625000002,678912.000000
1750000002,807936.000000
1875000002,518144.000000
2000000002,448512.000000
2125000002,644096.000000
2250000002,679936.000000
2375000002,413696.000000
2500000002,801792.000000
2625000002,602112.000000
2750000002,1208320.000000
2875000002,690176.000000
3000000002,742400.000000
3125000002,826464.000000
3250000002,657408.000000
3375000002,787456.000000
3500000002,669696.000000
3625000002,636032.000000
3750000002,772096.000000
3875000002,671744.000000
4000000002,754688.000000
4125000002,709632.000000
4250000002,693248.000000
4375000002,781312.000000
4500000002,376832.000000
4625000002,664576.000000
4750000002,628736.000000
4875000002,712704.000000
5000000002,462848.000000
5125000002,495616.000000
5250000002,785408.000000
5375000002,577312.000000
5500000002,547840.000000
5625000002,956320.000000
5750000002,425984.000000
5875000002,437248.000000
6000000002,416768.000000
6125000002,693248.000000
6250000002,735232.000000
6375000002,642048.000000
6500000002,576512.000000
6625000002,599968.000000
6750000002,741376.000000
6875000002,757600.000000
7000000002,668672.000000
7125000002,450560.000000
7250000002,683008.000000
7375000002,673792.000000
7500000002,437248.000000
7625000002,661440.000000
7750000002,693248.000000
7875000002,813056.000000
8000000002,647168.000000
8125000002,684032.000000
8250000002,604128.000000
8375000002,429056.000000
8500000002,843776.000000
8625000002,693024.000000
8750000002,779200.000000
8875000002,701312.000000
9000000002,621568.000000
9125000002,691200.000000
9250000002,747520.000000
9375000002,784384.000000
9500000002,690176.000000
9625000002,900096.000000
9750000002,803840.000000
9875000002,652096.000000
10000000002,784384.000000
10125000002,664576.000000
10250000002,711680.000000
10375000002,759808.000000
10500000002,624512.000000
10625000002,720896.000000
10750000002,793600.000000
10875000002,712704.000000
11000000002,490496.000000
11125000002,694272.000000
11250000002,746496.000000
11375000002,485376.000000
11500000002,636928.000000
11625000002,661504.000000
11750000002,505824.031250
11875000002,576512.000000
12000000002,617472.000000
12125000002,399360.000000
12250000002,877568.000000
12375000002,458752.000000
2,525120.000000
125000002,626688.000000
250000002,417792.000000
375000002,760832.000000
500000002,704448.000000
625000002,672768.000000
750000002,712704.000000
875000002,819200.000000
1000000002,710656.000000
1125000002,585696.000000
1250000002,363520.000000
1375000002,590848.000000
1500000002,766976.000000
1625000002,428032.000000
1750000002,637952.000000
1875000002,1029119.937500
2000000002,718976.000000
2125000002,736224.000000
2250000002,651264.000000
2375000002,396288.000000
2500000002,473088.000000
2625000002,440320.000000
2750000002,824288.000000
2875000002,628736.000000
