git_hash=e04fc47,max_arr_sz=12500000000
n,duration_ns
2,617559
2,510069
2,632958
2,626118
2,485379
2,515329
2,560879
2,558488
2,652259
2,563489
2,593499
2,634558
2,582938
2,580048
2,632659
2,542779
2,593649
2,594389
2,411309
2,565749
2,648828
2,594489
2,599199
2,543309
2,703648
2,608378
2,626939
2,635279
2,533479
2,684718
125000002,831848
125000002,747808
125000002,900968
125000002,757309
125000002,860368
125000002,675938
125000002,665188
125000002,607309
125000002,791239
125000002,724938
125000002,830859
125000002,762098
125000002,787538
125000002,795508
125000002,789358
125000002,741828
125000002,768558
125000002,821488
125000002,739479
125000002,745439
125000002,799438
125000002,860388
125000002,805279
125000002,865658
125000002,704359
125000002,726729
125000002,611319
125000002,906368
125000002,859628
125000002,651668
250000002,791829
250000002,865588
250000002,811019
250000002,838658
250000002,715698
250000002,531979
250000002,829358
250000002,804048
250000002,834028
250000002,841818
250000002,762159
250000002,817098
250000002,855668
250000002,909237
250000002,838498
250000002,554129
250000002,461679
250000002,781439
250000002,849468
250000002,829079
250000002,824669
250000002,851308
250000002,749978
250000002,917388
250000002,809718
250000002,565588
250000002,823558
250000002,797628
250000002,814108
250000002,803938
375000002,696908
375000002,692938
375000002,801518
375000002,785248
375000002,726129
375000002,610219
375000002,652918
375000002,633099
375000002,715988
375000002,518048
375000002,454769
375000002,643368
375000002,758828
375000002,677619
375000002,728538
375000002,737379
375000002,725478
375000002,553409
375000002,712278
375000002,628828
375000002,676788
375000002,713978
375000002,712518
375000002,690138
375000002,740549
375000002,742308
375000002,724908
375000002,725748
375000002,674458
375000002,800138
500000002,839988
500000002,823529
500000002,719268
500000002,791479
500000002,1057377
500000002,746899
500000002,1026458
500000002,499729
500000002,854808
500000002,824478
500000002,801548
500000002,802529
500000002,792658
500000002,851538
500000002,849978
500000002,788548
500000002,841808
500000002,599698
500000002,612818
500000002,517769
500000002,446609
500000002,777438
500000002,798268
500000002,750968
500000002,751628
500000002,1078087
500000002,1017068
500000002,800898
500000002,857898
500000002,791358
625000002,410429
625000002,633299
625000002,761538
625000002,886808
625000002,714359
625000002,702229
625000002,612699
625000002,658329
625000002,726258
625000002,471479
625000002,556909
625000002,420009
625000002,676079
625000002,753958
625000002,671038
625000002,695529
625000002,664178
625000002,637598
625000002,603039
625000002,591289
625000002,644469
625000002,752018
625000002,502359
625000002,700449
625000002,695818
625000002,724659
625000002,721098
625000002,603388
625000002,485399
625000002,494589
750000002,429139
750000002,577019
750000002,730448
750000002,777889
750000002,644869
750000002,847789
750000002,733269
750000002,761448
750000002,733578
750000002,982628
750000002,783458
750000002,766898
750000002,772028
750000002,711418
750000002,875578
750000002,728228
750000002,786398
750000002,743258
750000002,717238
750000002,922088
750000002,470899
750000002,691369
750000002,840208
750000002,800508
750000002,779648
750000002,718859
750000002,792558
750000002,780168
750000002,744438
750000002,791998
875000002,542429
875000002,482699
875000002,810548
875000002,858358
875000002,776448
875000002,885088
875000002,772398
875000002,1042987
875000002,785448
875000002,1070838
875000002,873718
875000002,854938
875000002,802809
875000002,807338
875000002,827808
875000002,812468
875000002,795148
875000002,777228
875000002,854648
875000002,858148
875000002,955168
875000002,491029
875000002,681959
875000002,846608
875000002,774078
875000002,890698
875000002,834268
875000002,795058
875000002,861688
875000002,892038
1000000002,705528
1000000002,718598
1000000002,475888
1000000002,692128
1000000002,402599
1000000002,785648
1000000002,725308
1000000002,767288
1000000002,804399
1000000002,723799
1000000002,779558
1000000002,990258
1000000002,454329
1000000002,583888
1000000002,628279
1000000002,727348
1000000002,695888
1000000002,676069
1000000002,674858
1000000002,667408
1000000002,670078
1000000002,722078
1000000002,594518
1000000002,510388
1000000002,720889
1000000002,682438
1000000002,729628
1000000002,667218
1000000002,704319
1000000002,722659
1125000002,908138
1125000002,601188
1125000002,669409
1125000002,596068
1125000002,724128
1125000002,847658
1125000002,804818
1125000002,827458
1125000002,819968
1125000002,837918
1125000002,850648
1125000002,831878
1125000002,858048
1125000002,681958
1125000002,692278
1125000002,681738
1125000002,840698
1125000002,602879
1125000002,783478
1125000002,746918
1125000002,772758
1125000002,726369
1125000002,765798
1125000002,749188
1125000002,393429
1125000002,407039
1125000002,910618
1125000002,757778
1125000002,515498
1125000002,991738
1250000002,704218
1250000002,697139
1250000002,531529
1250000002,777428
1250000002,653588
1250000002,519159
1250000002,625038
1250000002,592338
1250000002,414339
1250000002,778008
1250000002,654178
1250000002,708339
1250000002,731738
1250000002,884537
1250000002,762498
1250000002,536759
1250000002,544558
1250000002,697768
1250000002,758088
1250000002,628509
1250000002,732458
1250000002,702129
1250000002,722798
1250000002,719688
1250000002,692189
1250000002,664969
1250000002,662729
1250000002,712408
1250000002,633029
1250000002,641939
1375000002,724638
1375000002,727848
1375000002,731478
1375000002,744398
1375000002,783778
1375000002,723388
1375000002,786158
1375000002,736328
1375000002,467039
1375000002,475688
1375000002,806698
1375000002,480219
1375000002,777328
1375000002,706358
1375000002,814958
1375000002,742468
1375000002,753718
1375000002,747658
1375000002,734399
1375000002,691448
1375000002,775788
1375000002,715959
1375000002,762498
1375000002,665259
1375000002,831748
1375000002,749978
1375000002,699738
1375000002,785118
1375000002,727408
1375000002,830208
1500000002,863568
1500000002,789158
1500000002,838308
1500000002,882848
1500000002,793608
1500000002,1000308
1500000002,465759
1500000002,445669
1500000002,874598
1500000002,788198
1500000002,810368
1500000002,1011728
1500000002,906518
1500000002,559859
1500000002,802668
1500000002,768498
1500000002,804368
1500000002,771459
1500000002,711428
1500000002,763019
1500000002,826568
1500000002,682318
1500000002,622249
